"ID_position","ID_site","GPS_x","GPS_x_accur","GPS_y","GPS_y_accur","elevation","macroexposure_d","macroexposure","slope","exposure_d","exposure","microtopography","wind_edge","soil_depth","soil_moist","ID_species","species","position_description","soil_sample_GMT","pH_CaCl2","water_soluble_P","citricacid_soluble_P","carbon","nitrogen","C_N_ratio","d13C","d15N","Temp_min","Temp_max","Temp_ampl","Temp_ampl_max","Temp_min_JS","Temp_min_snowfree","GDH.0_SS","GDH.0_JA","GDH.0_MA","GDH.5_SS","GDH.5_JA","GDH.5_MA","FDH.0_OA","wintersnow19_GMT","wintersnow19_day","snowfree20_GMT","snowfree20_day","seasonstart20_GMT","seasonstart20_day","wintersnow20_GMT","wintersnow20_day","days_snow19_20","days_snowfree20","days_frozen","days_growper20.1","days_growper20.5","Indval_T","Indval_N","Indval_L","Indval_F","Indval_H","Indval_R","Carexcurvula","Nardusstricta","Achilleaerbarotta","Adenostylesalliariae","Agrostisalpina","Agrostisrupestris","Agrostisschraderiana","Alchemillapentaphyllea","Alchemillavulgaris","Antennariacarpatica","Anthoxanthumalpinum","Arenariabiflora","Arnicamontana","Avenellaflexuosa","Campanulabarbata","Campanulascheuchzeri","Cardamineresedifolia","Carexfoetida","Carexpallescens","Carexsempervirens","Cerastiumcerastoides","Cirsiumspinosissimum","Elynamyosuroides","Epilobiumanagallidifolium","Euphrasiaminima","Festucaviolacea","Festucasp","Galiumanisophyllon","Gentianaacaulis","Gentianabavarica","Gentianapunctata","Gentianapurpurea","Geummontanum","Gnaphaliumhoppeanum","Gnaphaliumnorvegicum","Gnaphaliumsupinum","Helictotrichonversicolor","Hieraciumalpinum","Hieraciumpiliferum","Homogynealpina","Juncusjacquinii","Juncustrifidus","Leontodonhelveticus","Leontodonhispidus","Leucanthemopsisalpina","Ligusticummutellina","Ligusticummutellinoides","Loiseleuriaprocumbens","Lotuscorniculatus","Luzulaalpinopilosa","Luzulalutea","Luzulaspicata","Minuartiasedoides","Myosotisalpestris","Pediculariskerneri","Peucedanumostruthium","Phleumalpinum","Phleumrhaeticum","Phyteumabetonicifolium","Phyteumahemisphaericum","Poaalpina","Polygonumviviparum","Potentillaaurea","Primulahirsuta","Pulsatillavernalis","Pulsatillaalpinaapiifolia","Ranunculusaconitifolius","Ranunculusmontanus","Ranunculusvillarsii","Saginasaginoides","Salixherbacea","Saxifragabryoides","Sedumalpestre","Sempervivummontanum","Senecioincanusincanus","Sibbaldiaprocumbens","Sileneexscapa","Soldanellapusilla","Solidagovirgaureaminuta","Trifoliumalpinum","Trisetumspicatum","Vacciniumgaultherioides","Vacciniummyrtillus","Vacciniumvitisidaea","Veronicaalpina","Veronicabellidioides"
41,1,2674478,5,1159217,5,2805,260,"W",29,185,"S","convex",TRUE,14.33,38.675,16,"Cc","unter Carex-Horst",2020-09-18 08:35:00,3.71,31.4,38.9,107.7,7.8,13.9,-24.24,2.33,-13.0466,19.8678,32.9144,10.7756,0.4423,-13.0466,35366.1684,8630.2894,23964.0224,15290.0166,4836.3092,10682.9196,-12392.1024,2019-11-03 01:00:00,64,2019-11-10 01:00:00,71,2020-04-02 11:00:00,215,2020-09-24 23:00:00,390,7,319,133,196,135,1.1875,1.75,4.75,2.5625,2.5,2.125,0.8,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
42,1,2674478,5,1159217,5,2805,260,"W",11,237,"SW","concave",TRUE,13,37.7375,NA,"Con","Kontrolle zu 41; ohne Horst; 30cm neben 41",2020-09-18 08:40:00,4.04,24.6,29.3,89.9,5.8,15.6,-24.73,1.64,-13.0189,23.1656,36.1845,15.7866,0.4778,-13.0189,34222.349,8717.2964,23640.5894,15288.8816,4960.4182,11071.3388,-12629.5494,2019-11-02 01:00:00,63,2019-11-10 11:00:00,71,2020-04-04 15:00:00,217,2020-09-24 23:00:00,390,8,319,136,186,134,1.20833333333333,1.75,4.66666666666667,2.75,2.83333333333333,2.33333333333333,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.01,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.01,0,0,0,0,0,0,0.02,0.03,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0
43,1,2674478,5,1159217,5,2805,260,"W",15,249,"W","convex",TRUE,6.33,34.2875,16,"Cc","unter Carex-Horst",2020-09-18 08:25:00,3.88,19.4,19,40.3,2.8,14.6,-24.94,1.84,-11.8313,24.1462,35.9775,17.8789,0.6463,-11.8313,34904.5456,8931.1386,23730.8676,15476.7774,5132.3218,10994.1888,-12192.6284,2019-11-02 01:00:00,63,2019-11-10 03:00:00,71,2020-04-08 15:00:00,221,2020-09-24 23:00:00,390,8,319,133,190,131,1.2,1.9,4.7,2.55,2.8,2.2,0.3,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0,0.03,0,0,0,0,0,0,0.1,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
44,1,2674478,5,1159217,5,2805,260,"W",16,248,"W","concave",TRUE,12.33,37.8875,NA,"Con","Kontrolle zu 43; unter Salix",2020-09-18 08:30:00,3.89,9.4,13.1,26.5,2.1,12.9,-24.26,2.98,-12.1484,23.951,36.0994,17.4726,0.6849,-12.1484,34714.715,8931.2512,23844.8406,15459.4484,5130.8094,11251.3274,-11992.7678,2019-11-02 01:00:00,63,2019-11-10 21:00:00,71,2020-04-10 13:00:00,223,2020-09-24 23:00:00,390,8,319,134,187,135,1.2,1.9,4.7,2.55,2.8,2.2,0.25,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0.15,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
45,1,2674478,5,1159217,5,2805,260,"W",16,302,"NW","concave",FALSE,12.33,18.4,NA,"Con","Mini-Schneetälchen (Logger unter Salix herbacea)",2020-09-18 09:35:00,4.23,4.4,13.2,24.3,1.7,14.1,-24.72,1.4,-2.8589,21.4147,24.2736,19.0046,0.4121,0.1606,25921.1838,7546.5514,17380.4552,11054.6658,3844.4352,8047.418,-3380.4726,2019-10-30 01:00:00,60,2020-05-08 13:00:00,251,2020-05-08 13:00:00,251,2020-09-24 23:00:00,390,191,139,90,153,99,1.22222222222222,2,4.77777777777778,2.94444444444444,2.77777777777778,2.55555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0.4,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,2674478,5,1159217,5,2805,260,"W",13,275,"W","flat",FALSE,13,28.2375,16,"Cc","1.5m Talabwärts dem Weg entlang von 45 aus; unter Carex curvula",2020-09-18 09:30:00,3.96,15.7,16.2,55.1,3.7,14.9,-24.8,1.72,-3.5622,17.5232,21.0854,10.4736,0.6493,0.0838,29581.057,8055.7078,19766.2258,11754.8234,4237.3506,8486.0432,-4807.8824,2019-11-02 01:00:00,63,2020-04-22 13:00:00,235,2020-04-22 13:00:00,235,2020-09-24 23:00:00,390,172,155,99,179,116,1.29166666666667,2.08333333333333,4.58333333333333,2.875,3.16666666666667,2.41666666666667,0.45,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0,0,0,0,0,0,0.05,0,0.02,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.1,0.08,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
47,2,2674639,5,1159276,5,2732,75,"E",16,55,"NE","convex",TRUE,14.67,27.1375,36,"Hv","Windkante; unter Helictotrichon",2020-09-18 10:55:00,3.95,5.3,38.1,66.1,4.5,14.8,-24.78,2.7,-9.1628,18.2095,27.3723,9.4155,2.031,-9.1628,35829.452,8863.0216,24312.913,15264.3116,5032.1804,11053.6638,-8306.8888,2019-11-02 01:00:00,63,2019-12-08 05:00:00,99,2020-04-16 15:00:00,229,2020-09-24 23:00:00,390,36,291,110,199,140,1.28571428571429,2,4.42857142857143,2.64285714285714,3,2,0.3,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,2674639,5,1159276,5,2732,75,"E",16,53,"NE","flat",TRUE,9.33,30.7,NA,"Con","Kontrolle zu 47, 49, 50; unter Salix herbacea und Polygonum viviparum",2020-09-18 10:50:00,3.92,4.3,39.6,38.3,2.7,14.1,-24.32,2.82,-8.8223,20.7124,29.5347,13.2867,2.0455,-8.8223,39768.8818,9674.5556,27152.3876,18597.1484,5838.1758,13587.9276,-7055.382,2019-11-02 01:00:00,63,2019-12-27 21:00:00,118,2020-04-11 13:00:00,224,2020-09-24 23:00:00,390,55,272,97,205,148,1.26923076923077,2.15384615384615,4.46153846153846,2.69230769230769,3,2.15384615384615,0.2,0,0,0,0,0.05,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.15,0.02,0,0,0,0,0,0,0.03,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.05,0.05,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
49,2,2674639,5,1159276,5,2732,75,"E",12,70,"E","flat",TRUE,10.33,33.1125,22,"Em","Windkante; unter Elyna",2020-09-18 10:45:00,4.17,2.7,38.1,38.9,3,13.1,-24.22,2.54,-7.2719,19.1303,26.4022,10.5471,2.2023,-7.2719,38866.3434,9443.6492,26238.0284,17425.682,5605.6036,12587.0002,-6593.232,2019-11-02 01:00:00,63,2019-12-28 07:00:00,119,2020-04-13 11:00:00,226,2020-09-24 23:00:00,390,56,271,99,205,148,1.22727272727273,2.09090909090909,4.54545454545455,2.63636363636364,3.18181818181818,2.36363636363636,0.1,0,0,0,0,0.08,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
50,2,2674639,5,1159276,5,2732,75,"E",13,95,"E","convex",TRUE,10.67,25.43,16,"Cc","Windkante; unter Carex",2020-09-18 11:00:00,4.01,6.2,26.4,56,3.9,14.5,-24.42,1.84,-8.4075,23.7065,32.114,14.1,2.2386,-8.4075,40566.7078,9645.4418,27386.6494,18901.4,5805.511,13581.147,-7266.5988,2019-11-02 01:00:00,63,2019-12-27 21:00:00,118,2020-04-10 13:00:00,223,2020-09-24 23:00:00,390,55,272,98,206,151,1.25,2,4.5,2.58333333333333,3,2.33333333333333,0.7,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
